department,education,gender,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,avg_training_score,,3,
Operations,Bachelors,Male,1,34,5,5,1,66,,1,
Sales & Marketing,Bachelors,Male,1,26,4,5,0,45,,1,
Technology,Bachelors,Female,1,52,5,18,0,80,,1,
Sales & Marketing,Bachelors,Male,1,26,5,2,1,54,,1,
Analytics,Bachelors,Male,3,27,3,2,0,83,,3,
Analytics,Masters & above,Male,1,31,N/A,1,1,84,,1,
Operations,Bachelors,Male,1,33,4,8,1,59,,1,
Sales & Marketing,N/A,Male,1,36,5,4,1,49,,1,
Technology,Masters & above,Female,1,57,1,26,0,76,,1,
Sales & Marketing,Bachelors,Male,2,46,1,7,0,49,,1,
Sales & Marketing,Bachelors,Male,1,30,2,3,0,50,,3,
Operations,Below Secondary,Male,1,21,N/A,1,1,56,,3,
Technology,Bachelors,Male,1,26,N/A,1,1,85,,1,
Technology,Masters & above,Male,2,40,3,6,0,81,,1,
Technology,Bachelors,Male,2,32,3,6,0,79,,1,
Finance,Masters & above,Female,1,36,3,2,1,61,,1,
Legal,Bachelors,Male,1,28,2,2,0,62,,1,
Operations,Bachelors,Female,1,29,5,4,1,56,,1,
Sales & Marketing,Masters & above,Male,1,38,4,4,0,49,,1,
Technology,Bachelors,Male,1,31,2,4,1,78,,1,
Sales & Marketing,Bachelors,Male,1,29,1,4,0,46,,3,
Technology,Below Secondary,Male,1,23,N/A,1,0,81,,1,
Operations,Bachelors,Male,1,41,4,6,1,60,,1,
Procurement,Bachelors,Male,1,29,5,2,1,74,,1,
Sales & Marketing,Bachelors,Female,1,29,2,5,0,51,,1,
Operations,N/A,Male,1,28,3,3,0,59,,1,
Analytics,Bachelors,Male,2,28,5,4,1,84,,1,
Procurement,Bachelors,Female,1,31,1,6,0,64,,1,
Technology,Masters & above,Male,1,36,3,4,0,76,,1,
Operations,Bachelors,Male,3,26,3,4,1,57,,1,
Technology,Bachelors,Male,1,29,3,2,0,84,,1,
Analytics,Bachelors,Male,1,32,4,6,0,85,,1,
Sales & Marketing,Bachelors,Female,1,40,1,10,0,50,,1,
Analytics,Bachelors,Male,2,38,4,13,0,87,,1,
Analytics,Bachelors,Male,1,42,5,11,1,80,,1,
Procurement,Masters & above,Female,1,33,3,6,0,68,,1,
Analytics,Bachelors,Male,1,31,5,5,1,92,,1,
Operations,Masters & above,Female,1,35,3,4,0,58,,1,
HR,Masters & above,Female,1,58,5,6,1,51,,1,
Sales & Marketing,Bachelors,Female,1,26,2,4,0,48,,1,
HR,Bachelors,Female,1,33,3,8,1,49,,1,
Technology,Bachelors,Male,1,30,3,3,1,80,,1,
Technology,Masters & above,Female,1,43,3,12,0,79,,1,
HR,Bachelors,Female,1,31,4,7,0,48,,1,
Analytics,Bachelors,Male,1,32,3,5,1,86,,1,
Technology,Masters & above,Female,2,57,2,7,0,83,,1,
Operations,Bachelors,Female,1,54,4,22,0,57,,1,
Analytics,N/A,Male,2,37,5,8,1,82,,1,
R&D,Masters & above,Male,2,27,4,5,0,86,,1,
Operations,Masters & above,Male,1,44,3,10,0,55,,1,
Technology,Masters & above,Female,1,37,3,10,0,81,,1,
Procurement,Masters & above,Male,1,48,4,8,0,72,,1,
Sales & Marketing,Bachelors,Female,1,31,3,6,1,43,,1,
Finance,Bachelors,Female,1,28,5,5,1,60,,1,
Procurement,Masters & above,Female,1,34,3,4,0,69,,1,
Sales & Marketing,Bachelors,Female,1,44,1,4,0,47,,1,
Sales & Marketing,Bachelors,Male,1,27,5,2,0,50,,1,
Operations,Masters & above,Male,1,45,3,4,1,57,,1,
Sales & Marketing,Bachelors,Male,1,24,4,2,0,48,,1,
Analytics,Bachelors,Male,1,37,5,4,0,82,,3,
Analytics,Masters & above,Male,1,27,N/A,1,1,86,,3,
Legal,Bachelors,Male,1,33,N/A,1,1,59,,1,
Sales & Marketing,Masters & above,Female,1,31,1,2,1,53,,1,
Sales & Marketing,Masters & above,Male,3,38,3,5,0,49,,1,
Procurement,Bachelors,Male,1,32,5,2,1,72,,1,
Analytics,Bachelors,Male,1,29,3,4,0,84,,1,
Sales & Marketing,Bachelors,Male,1,37,4,9,0,50,,1,
Operations,Bachelors,Male,2,42,3,12,0,60,,1,
R&D,Masters & above,Male,2,32,5,5,1,88,,1,
Operations,Bachelors,Male,1,45,3,3,0,60,,1,
Analytics,Bachelors,Male,1,28,3,7,0,83,,1,
Technology,Masters & above,Male,1,35,1,9,0,81,,1,
Sales & Marketing,Bachelors,Male,3,28,3,5,0,48,,1,
Operations,Bachelors,Female,1,37,1,3,1,59,,1,
Analytics,Masters & above,Male,1,38,4,7,1,88,,1,
Procurement,Bachelors,Female,1,31,1,6,0,68,,1,
Operations,Masters & above,Male,2,43,3,2,0,69,,1,
Operations,Bachelors,Male,1,32,3,2,1,62,,1,
Procurement,Below Secondary,Male,1,24,4,2,1,69,,1,
Operations,Masters & above,Male,1,52,5,8,0,59,,1,
Technology,Masters & above,Male,1,38,5,2,0,88,,1,
Finance,Bachelors,Male,1,35,3,4,0,59,,1,
Technology,Masters & above,Male,1,39,5,4,0,81,,1,
Procurement,Bachelors,Male,1,31,3,5,1,65,,1,
Operations,Bachelors,Male,1,37,3,5,0,57,,3,
Analytics,N/A,Male,1,27,N/A,1,0,80,,1,
Operations,Masters & above,Female,1,37,5,9,1,56,,1,
Analytics,Bachelors,Male,2,31,3,5,1,81,,1,
Analytics,Bachelors,Male,1,28,5,4,1,85,,1,
Technology,Bachelors,Male,1,26,3,3,0,77,,1,
Finance,Masters & above,Male,1,49,4,7,1,62,,1,
Procurement,Bachelors,Female,1,34,3,9,0,68,,1,
Finance,Masters & above,Female,1,38,3,2,0,58,,1,
Sales & Marketing,Masters & above,Male,1,52,4,4,1,51,,1,
Sales & Marketing,Bachelors,Male,3,31,1,7,1,50,,1,
Technology,Bachelors,Female,1,24,1,2,0,82,,1,
Analytics,N/A,Female,2,26,5,3,1,86,,1,
HR,Bachelors,Male,1,31,2,5,0,66,,1,
Technology,Bachelors,Female,1,43,1,4,1,86,,1,
Procurement,Masters & above,Male,4,37,3,6,0,68,,1,
Sales & Marketing,N/A,Male,1,37,4,4,0,50,,1,
HR,Masters & above,Male,1,37,5,9,1,53,,1,
Operations,Bachelors,Male,1,32,5,8,1,58,,1,
Sales & Marketing,Bachelors,Female,1,30,4,2,0,53,,1,
Procurement,Bachelors,Female,1,30,5,4,1,71,,1,
Sales & Marketing,Bachelors,Male,1,27,4,3,0,50,,1,
Sales & Marketing,Bachelors,Male,2,36,4,8,0,45,,1,
Technology,Bachelors,Male,4,30,3,2,0,78,,1,
Procurement,Masters & above,Male,1,49,4,19,0,73,,1,
Sales & Marketing,Masters & above,Male,1,38,5,5,0,63,,1,
Sales & Marketing,Bachelors,Male,1,29,3,6,0,51,,1,
Technology,Bachelors,Male,1,48,3,6,1,81,,3,
Sales & Marketing,Bachelors,Male,1,29,N/A,1,0,53,,1,
Analytics,Masters & above,Male,1,59,4,13,0,82,,1,
Operations,Bachelors,Female,1,36,5,5,1,62,,1,
Finance,Bachelors,Male,1,28,3,3,0,59,,1,
Procurement,Bachelors,Male,2,27,4,2,1,68,,1,
Operations,Bachelors,Male,1,25,3,2,0,62,,1,
Sales & Marketing,Bachelors,Male,1,30,5,6,1,52,,3,
HR,Below Secondary,Male,1,23,N/A,1,0,51,,3,
HR,Bachelors,Female,1,28,N/A,1,0,50,,1,
Sales & Marketing,Bachelors,Male,1,38,4,5,1,48,,3,
Sales & Marketing,Bachelors,Male,1,30,N/A,1,1,45,,1,
HR,Bachelors,Female,1,53,4,21,0,53,,1,
Sales & Marketing,Masters & above,Male,1,35,3,8,0,45,,1,
HR,Bachelors,Male,1,45,3,14,1,53,,1,
Sales & Marketing,N/A,Male,1,40,1,8,0,51,,1,
Operations,Bachelors,Male,1,39,3,8,0,58,,1,
Analytics,Bachelors,Male,1,46,4,6,0,82,,1,
Technology,Bachelors,Male,2,29,3,3,0,79,,3,
Analytics,Bachelors,Male,1,28,N/A,1,1,84,,1,
Technology,Bachelors,Female,1,34,4,6,1,82,,3,
Sales & Marketing,Bachelors,Male,1,23,N/A,1,1,47,,1,
Sales & Marketing,Bachelors,Male,1,38,5,3,0,51,,1,
HR,Masters & above,Male,1,32,3,5,0,52,,1,
Operations,Bachelors,Male,1,33,3,5,1,58,,1,
Procurement,Bachelors,Female,1,39,4,9,0,70,,1,
Procurement,Masters & above,Male,4,36,3,6,0,71,,1,
Operations,Bachelors,Male,2,33,4,4,0,59,,1,
Sales & Marketing,Bachelors,Female,1,29,4,6,1,45,,1,
R&D,Bachelors,Female,1,32,3,5,0,85,,1,
Sales & Marketing,Bachelors,Female,1,26,3,2,1,46,,1,
Analytics,Bachelors,Male,1,38,3,3,0,82,,1,
Procurement,Masters & above,Male,1,42,2,15,0,70,,1,
Operations,Bachelors,Female,1,30,5,6,0,60,,3,
Analytics,Bachelors,Male,2,28,N/A,1,0,83,,1,
Sales & Marketing,Bachelors,Male,1,36,4,6,0,47,,1,
Procurement,Bachelors,Female,1,56,5,6,0,84,,1,
Sales & Marketing,Bachelors,Female,1,30,3,5,0,51,,3,
Sales & Marketing,Bachelors,Male,2,25,N/A,1,0,50,,1,
HR,Bachelors,Female,1,29,5,6,1,49,,1,
Sales & Marketing,Bachelors,Male,1,36,2,7,0,47,,1,
Technology,Bachelors,Female,1,39,3,4,0,80,,1,
Analytics,Bachelors,Male,1,30,5,4,1,84,,1,
R&D,Bachelors,Male,2,42,3,9,0,84,,1,
Sales & Marketing,Bachelors,Male,2,37,4,9,0,49,,1,
Procurement,Bachelors,Male,1,31,2,2,1,66,,1,
Sales & Marketing,Masters & above,Male,1,32,4,6,1,48,,1,
Operations,Masters & above,Male,1,40,5,11,1,59,,1,
Finance,Bachelors,Male,2,39,5,10,1,58,,1,
Sales & Marketing,Bachelors,Male,1,40,4,10,1,47,,1,
HR,Bachelors,Male,1,23,1,2,0,45,,3,
Operations,Bachelors,Male,2,28,N/A,1,0,60,,1,
Sales & Marketing,Bachelors,Male,1,37,2,4,0,51,,3,
Finance,Below Secondary,Male,1,23,N/A,1,1,58,,1,
Operations,Bachelors,Male,1,37,3,9,0,61,,1,
Legal,Bachelors,Male,1,29,5,3,1,54,,1,
Operations,Bachelors,Female,1,38,4,10,0,55,,1,
Operations,Bachelors,Male,2,39,4,10,0,57,,1,
Sales & Marketing,Masters & above,Male,2,38,5,7,1,48,,1,
Procurement,Bachelors,Male,1,34,3,4,0,69,,1,
Procurement,Bachelors,Female,1,48,5,21,0,69,,1,
R&D,Masters & above,Male,1,29,5,4,0,82,,1,
Technology,Masters & above,Female,1,37,4,7,1,81,,3,
Sales & Marketing,N/A,Male,2,23,N/A,1,1,53,,1,
Operations,Bachelors,Female,1,47,5,2,1,63,,1,
Sales & Marketing,Bachelors,Male,1,31,1,3,0,50,,1,
Analytics,Bachelors,Male,1,28,3,4,0,83,,1,
Finance,Masters & above,Female,2,32,4,6,1,57,,1,
Procurement,Bachelors,Female,1,33,2,4,1,71,,3,
Legal,Bachelors,Male,2,28,N/A,1,1,58,,3,
Legal,Bachelors,Male,1,32,N/A,1,1,62,,1,
Operations,Bachelors,Male,1,34,3,10,0,67,,1,
Sales & Marketing,Bachelors,Male,1,38,5,3,1,52,,1,
Technology,Bachelors,Male,1,28,4,5,0,79,,1,
Analytics,Masters & above,Male,1,34,3,3,0,87,,1,
Procurement,Bachelors,Male,1,44,2,16,0,70,,1,
Procurement,Bachelors,Male,1,28,3,4,0,69,,1,
Operations,Bachelors,Female,1,31,1,5,1,61,,1,
Analytics,Bachelors,Male,1,34,2,5,0,84,,1,
Procurement,Below Secondary,Male,1,22,3,2,1,71,,3,
Procurement,Bachelors,Male,1,20,N/A,1,0,76,,1,
Procurement,Bachelors,Female,1,32,3,7,1,66,,1,
Technology,Masters & above,Female,1,43,3,6,1,80,,1,
Analytics,Masters & above,Female,1,42,5,13,1,85,,1,
HR,Bachelors,Male,1,41,3,8,1,54,,1,
Technology,Bachelors,Female,1,27,3,2,0,84,,1,
Finance,Bachelors,Male,1,41,4,9,0,56,,1,
Technology,Bachelors,Male,1,26,5,2,1,76,,1,
Analytics,Bachelors,Male,1,35,5,10,1,85,,1,
Sales & Marketing,Bachelors,Female,1,28,1,3,0,58,,1,
HR,Bachelors,Female,1,50,1,9,0,46,,3,
Sales & Marketing,Masters & above,Male,1,29,N/A,1,1,46,,1,
Sales & Marketing,Masters & above,Male,2,37,1,10,0,49,,1,
Operations,Bachelors,Male,2,35,3,8,1,64,,1,
Sales & Marketing,Masters & above,Female,1,29,4,4,0,51,,1,
Sales & Marketing,Bachelors,Female,1,36,5,8,0,47,,3,
Technology,Below Secondary,Male,1,22,N/A,1,1,79,,1,
Finance,Bachelors,Male,1,36,3,3,0,55,,1,
Operations,Bachelors,Female,2,37,4,2,0,71,,1,
Analytics,Bachelors,Male,1,30,3,4,0,83,,1,
Finance,Bachelors,Male,2,26,2,2,0,54,,1,
Procurement,Bachelors,Female,2,28,5,3,1,68,,1,
Operations,Bachelors,Male,1,49,4,9,0,61,,1,
Analytics,N/A,Male,1,29,5,2,1,84,,1,
Procurement,Masters & above,Male,1,35,5,7,1,70,,1,
Technology,Bachelors,Male,1,32,2,6,0,90,,1,
Sales & Marketing,Masters & above,Female,1,42,3,4,0,54,,1,
Technology,Masters & above,Male,1,37,4,5,0,76,,1,
Sales & Marketing,Bachelors,Male,1,28,5,2,0,45,,1,
Procurement,Bachelors,Male,1,38,4,2,1,97,,1,
Analytics,Bachelors,Male,2,39,4,5,1,86,,1,
Analytics,Bachelors,Male,1,28,5,2,1,87,,1,
Operations,Bachelors,Male,2,34,3,10,0,60,,1,
Operations,Bachelors,Female,1,37,3,3,0,63,,1,
Sales & Marketing,Masters & above,Female,2,38,1,6,0,51,,1,
Finance,Bachelors,Female,1,24,5,2,1,57,,1,
Sales & Marketing,Masters & above,Male,1,36,3,7,0,52,,1,
Procurement,Bachelors,Male,1,41,2,15,0,70,,3,
Operations,Bachelors,Male,2,29,N/A,1,0,60,,1,
Technology,Masters & above,Female,2,59,1,15,0,76,,1,
Sales & Marketing,Bachelors,Female,1,29,3,1,0,48,,1,
Operations,Bachelors,Female,1,29,5,3,0,57,,1,
Sales & Marketing,Bachelors,Female,3,31,1,5,0,51,,1,
Sales & Marketing,Bachelors,Male,1,31,5,7,0,51,,1,
Sales & Marketing,Bachelors,Female,1,31,4,3,0,50,,1,
Sales & Marketing,Bachelors,Male,1,32,3,4,1,47,,1,
Procurement,Bachelors,Female,1,49,4,8,0,68,,1,
Operations,Masters & above,Male,1,42,5,11,0,59,,1,
Sales & Marketing,Bachelors,Male,1,32,5,7,1,49,,1,
Analytics,Bachelors,Male,1,30,3,4,0,80,,1,
Analytics,Bachelors,Male,1,32,5,8,0,86,,1,
Procurement,Bachelors,Female,2,29,1,2,0,74,,1,
Sales & Marketing,Bachelors,Male,2,31,1,6,0,50,,3,
Sales & Marketing,Bachelors,Male,2,27,N/A,1,1,48,,1,
Operations,Bachelors,Male,1,30,3,2,1,58,,1,
Operations,Bachelors,Female,1,48,4,8,1,60,,1,
Sales & Marketing,Bachelors,Male,1,39,5,12,0,50,,1,
Analytics,Masters & above,Male,1,35,2,7,1,87,,1,
Technology,Bachelors,Female,1,47,4,7,0,78,,1,
Sales & Marketing,Masters & above,Male,1,46,5,3,1,51,,1,
Procurement,Masters & above,Female,1,37,3,2,1,97,,1,
Operations,Bachelors,Male,1,26,5,6,1,60,,1,
Technology,Bachelors,Female,1,31,5,4,1,87,,3,
Operations,N/A,Male,1,26,N/A,1,1,56,,1,
Procurement,Bachelors,Female,1,28,2,4,0,69,,1,
Operations,Masters & above,Female,2,36,1,6,1,65,,1,
Technology,Masters & above,Female,1,35,1,7,0,80,,1,
Analytics,Bachelors,Male,1,34,4,9,0,84,,1,
Analytics,Masters & above,Male,2,58,5,6,1,81,,1,
Sales & Marketing,Masters & above,Male,1,29,2,5,1,50,,1,
Operations,Bachelors,Male,1,36,2,9,0,59,,1,
R&D,Bachelors,Male,1,30,1,4,0,84,,1,
HR,Masters & above,Female,1,40,3,10,0,49,,1,
Procurement,Bachelors,Male,1,38,3,4,1,71,,1,
Sales & Marketing,Bachelors,Male,1,36,2,5,0,52,,1,
Sales & Marketing,Bachelors,Male,1,41,4,9,0,49,,1,
Procurement,Masters & above,Male,1,33,5,5,1,66,,1,
Technology,Bachelors,Male,1,29,1,4,0,79,,1,
Operations,Masters & above,Female,1,33,4,8,1,81,,1,
Sales & Marketing,Masters & above,Female,1,41,1,2,0,47,,1,
Procurement,Masters & above,Male,2,41,3,10,0,67,,1,
Operations,Masters & above,Male,1,41,3,4,0,60,,1,
Technology,Bachelors,Female,1,28,4,5,1,76,,1,
Sales & Marketing,Masters & above,Female,1,32,5,7,1,53,,1,
Technology,Bachelors,Male,1,25,3,3,0,77,,1,
Technology,Below Secondary,Female,1,24,2,2,0,85,,1,
Sales & Marketing,Bachelors,Male,1,53,4,10,1,45,,1,
Sales & Marketing,Masters & above,Male,1,38,5,12,1,49,,1,
Legal,Bachelors,Male,1,31,3,3,0,62,,1,
Sales & Marketing,Bachelors,Female,2,51,3,17,0,52,,1,
Operations,Masters & above,Male,1,42,3,4,0,59,,1,
Operations,Masters & above,Male,1,56,5,16,1,59,,1,
Sales & Marketing,Bachelors,Male,1,48,4,9,0,46,,1,
Procurement,Masters & above,Male,1,56,3,2,1,65,,3,
Technology,Bachelors,Male,1,27,N/A,1,0,79,,1,
R&D,Bachelors,Male,1,31,4,6,0,84,,1,
Procurement,Masters & above,Male,2,33,3,3,0,72,,1,
Technology,Masters & above,Male,1,36,4,4,1,80,,1,
Procurement,Masters & above,Female,1,38,5,4,1,70,,1,
Procurement,Bachelors,Male,1,36,2,4,0,64,,1,
Sales & Marketing,Bachelors,Female,1,50,4,21,1,49,,1,
Sales & Marketing,Bachelors,Male,1,40,1,3,0,47,,1,
Finance,Below Secondary,Female,1,26,1,2,1,54,,1,
Operations,Bachelors,Male,1,27,3,3,0,58,,1,
Sales & Marketing,Masters & above,Male,1,54,5,21,0,53,,1,
Finance,Bachelors,Female,1,29,4,7,0,67,,1,
Procurement,Bachelors,Male,3,31,4,4,0,67,,1,
Technology,Masters & above,Male,2,45,5,15,0,75,,3,
Analytics,Bachelors,Male,1,29,N/A,1,0,84,,1,
Procurement,Masters & above,Male,1,39,3,5,0,70,,3,
Sales & Marketing,Bachelors,Male,1,20,N/A,1,0,49,,1,
Sales & Marketing,Bachelors,Male,1,28,5,2,0,51,,1,
Sales & Marketing,Bachelors,Male,1,42,3,4,0,51,,1,
Operations,Bachelors,Male,1,33,4,3,0,58,,1,
Sales & Marketing,Bachelors,Male,1,33,3,4,0,52,,1,
Finance,Bachelors,Male,1,25,5,2,0,57,,1,
Operations,Bachelors,Male,1,29,3,2,0,57,,1,
Technology,Bachelors,Male,1,28,5,2,0,95,,1,
Procurement,Masters & above,Male,1,33,4,3,1,70,,1,
HR,Bachelors,Male,1,32,3,6,0,52,,1,
Operations,Masters & above,Female,1,32,3,5,0,57,,1,
Analytics,Bachelors,Male,1,37,3,4,1,81,,1,
Sales & Marketing,Bachelors,Male,1,35,5,8,0,50,,1,
Technology,N/A,Female,1,56,3,12,0,79,,1,
Procurement,Bachelors,Male,3,28,3,2,0,70,,1,
Analytics,Bachelors,Male,1,39,3,10,0,86,,1,
Operations,Masters & above,Male,1,40,4,11,0,59,,1,
Sales & Marketing,Masters & above,Male,2,36,4,9,1,47,,1,
Technology,Bachelors,Male,1,36,3,11,0,82,,1,
Analytics,Bachelors,Male,1,30,2,5,0,88,,1,
Legal,Bachelors,Male,1,43,3,9,0,59,,1,
Operations,Bachelors,Female,1,39,2,11,0,70,,1,
Operations,Masters & above,Female,3,32,4,6,0,62,,1,
Operations,Bachelors,Male,1,43,4,11,1,58,,1,
Operations,Bachelors,Female,1,34,4,6,1,60,,3,
Analytics,Bachelors,Male,1,29,N/A,1,1,89,,1,
Sales & Marketing,Bachelors,Male,1,47,4,9,0,52,,1,
Analytics,Masters & above,Male,1,38,1,9,1,85,,1,
Operations,Bachelors,Female,1,30,3,6,0,58,,1,
Sales & Marketing,Bachelors,Female,1,29,3,3,0,47,,1,
Procurement,Bachelors,Male,1,36,3,9,0,66,,1,
Operations,Masters & above,Male,1,40,5,7,0,56,,1,
Legal,Bachelors,Male,1,33,4,3,0,60,,1,
Operations,Bachelors,Female,1,35,2,5,0,54,,1,
Sales & Marketing,Bachelors,Male,1,23,5,2,1,54,,1,
Finance,Bachelors,Male,3,26,5,2,1,60,,1,
Sales & Marketing,Bachelors,Male,1,38,3,8,0,48,,1,
Analytics,Masters & above,Male,1,38,3,10,0,90,,1,
Technology,Bachelors,Male,1,29,1,6,0,82,,3,
Sales & Marketing,N/A,Male,1,23,N/A,1,0,50,,1,
Sales & Marketing,Bachelors,Female,1,41,3,4,0,51,,1,
Procurement,Bachelors,Male,1,29,1,1,0,72,,1,
Sales & Marketing,Bachelors,Male,2,29,1,2,0,50,,1,
Sales & Marketing,Masters & above,Male,1,31,3,9,0,51,,1,
Procurement,Masters & above,Female,1,56,3,4,0,70,,1,
Sales & Marketing,N/A,Male,1,24,4,3,0,50,,1,
Procurement,Masters & above,Male,1,50,3,15,0,67,,1,
Legal,Masters & above,Male,1,36,5,4,1,57,,1,
Sales & Marketing,Bachelors,Male,1,36,5,10,1,46,,1,
Operations,Bachelors,Female,1,42,5,14,1,64,,1,
Sales & Marketing,N/A,Male,1,45,1,14,0,55,,1,
Sales & Marketing,Bachelors,Male,1,30,3,2,1,46,,1,
Analytics,Bachelors,Male,1,28,5,2,1,86,,1,
Operations,Masters & above,Female,1,46,3,16,0,62,,1,
Technology,Masters & above,Female,1,55,4,14,0,75,,1,
HR,Masters & above,Male,1,35,5,10,1,50,,1,
Sales & Marketing,Bachelors,Female,1,58,3,2,1,48,,1,
Analytics,Masters & above,Male,1,35,5,7,0,85,,1,
Operations,Bachelors,Male,1,30,1,7,0,58,,1,
Technology,Bachelors,Male,2,27,5,4,1,82,,1,
Analytics,Bachelors,Female,1,29,1,4,0,87,,1,
Analytics,Bachelors,Male,1,34,1,3,0,87,,1,
Sales & Marketing,Masters & above,Male,1,40,3,2,1,49,,1,
Sales & Marketing,Masters & above,Male,1,33,5,4,1,47,,1,
Finance,Masters & above,Female,3,40,3,4,0,56,,1,
Sales & Marketing,Bachelors,Male,1,34,1,6,0,49,,3,
Sales & Marketing,Bachelors,Female,1,25,N/A,1,0,47,,1,
Sales & Marketing,Bachelors,Male,1,28,4,6,1,47,,1,
Sales & Marketing,Bachelors,Male,4,29,3,8,0,51,,1,
Sales & Marketing,Bachelors,Male,1,41,4,4,0,60,,1,
Finance,Masters & above,Male,1,43,5,15,0,74,,1,
Sales & Marketing,Masters & above,Male,1,36,1,5,0,54,,3,
Legal,Below Secondary,Male,1,26,N/A,1,1,63,,3,
Sales & Marketing,N/A,Male,1,26,N/A,1,0,48,,1,
Procurement,Bachelors,Female,1,38,4,6,0,72,,1,
Technology,Masters & above,Female,1,37,4,8,0,82,,1,
Operations,Bachelors,Male,1,35,4,8,0,59,,1,
HR,Bachelors,Female,1,29,5,6,1,45,,1,
Sales & Marketing,Bachelors,Male,1,42,3,3,0,57,,1,
Technology,Masters & above,Male,1,35,2,10,0,81,,1,
Finance,Bachelors,Male,1,30,5,7,1,54,,1,
Operations,Bachelors,Male,1,33,5,6,0,63,,1,
Sales & Marketing,Bachelors,Male,1,29,4,3,0,43,,3,
Operations,Below Secondary,Female,1,22,N/A,1,1,62,,1,
Sales & Marketing,Bachelors,Male,1,27,1,3,0,47,,3,
Technology,Bachelors,Male,1,24,N/A,1,0,76,,1,
R&D,Bachelors,Male,1,36,3,7,1,86,,1,
Procurement,Bachelors,Female,1,34,5,8,1,68,,1,
Technology,Masters & above,Male,1,40,1,4,0,80,,1,
Sales & Marketing,Bachelors,Female,1,27,4,3,0,46,,1,
Analytics,Bachelors,Male,1,31,5,4,0,88,,1,
Sales & Marketing,Masters & above,Male,1,34,3,3,0,49,,1,
R&D,Bachelors,Male,1,32,3,2,1,85,,3,
Technology,Bachelors,Female,1,29,N/A,1,0,83,,1,
Sales & Marketing,Bachelors,Female,1,28,2,5,1,45,,1,
Procurement,Masters & above,Female,1,44,3,16,0,68,,1,
Technology,Bachelors,Male,1,26,5,4,1,94,,1,
Operations,Bachelors,Female,1,27,1,2,0,64,,1,
Operations,Bachelors,Female,1,38,3,3,0,60,,1,
Technology,Bachelors,Male,1,30,4,4,0,80,,3,
Sales & Marketing,Bachelors,Male,1,29,N/A,1,1,54,,1,
Procurement,Bachelors,Male,2,40,3,2,1,67,,1,
Sales & Marketing,Masters & above,Male,1,35,5,11,1,51,,1,
Technology,Masters & above,Female,1,42,4,17,0,78,,1,
R&D,Masters & above,Male,1,39,4,9,0,84,,1,
Sales & Marketing,Bachelors,Female,1,31,4,4,0,45,,3,
Technology,Bachelors,Female,3,29,N/A,1,1,80,,1,
